,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,precision_weighted_mean,precision_weighted_std,recall_macro_mean,recall_macro_std,recall_weighted_mean,recall_weighted_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,criterion,max_depth,max_leaf_nodes,min_samples_split,splitter
35,0.4456863012763634,0.022314357294634452,0.3677565382505321,0.020340794236162703,0.4200192329163335,0.020924357420448562,0.3916556878598979,0.01793173865133837,0.4456863012763634,0.022314357294634452,0.36873176670630053,0.02331571134638637,0.4195692849488914,0.026518907162023344,gini,10.0,20.0,100,random
36,0.7049689440993788,0.02554371021451911,0.6586704992778365,0.02306403713238093,0.7014036734854592,0.02246777980241008,0.6479749164000976,0.028896952188330105,0.7049689440993788,0.02554371021451911,0.6484732709575143,0.024486741323212134,0.698961709162403,0.024164954610677292,gini,10.0,50.0,2,best
37,0.4713159511296157,0.041295248355351914,0.4232179760136554,0.053360259641669704,0.4506492734515202,0.04609316733899855,0.39469931094637023,0.026149675884580816,0.4713159511296157,0.041295248355351914,0.37556423065873046,0.02523159447066374,0.4366615388571591,0.03991067127087641,gini,10.0,50.0,2,random
38,0.7049689440993788,0.02554371021451911,0.6586704992778365,0.02306403713238093,0.7014036734854592,0.02246777980241008,0.6479749164000976,0.028896952188330105,0.7049689440993788,0.02554371021451911,0.6484732709575143,0.024486741323212134,0.698961709162403,0.024164954610677292,gini,10.0,50.0,50,best
39,0.5397242509043751,0.019856993957197613,0.45125202503423134,0.019249253052772683,0.5066821105266186,0.008075778120748394,0.4618262122464455,0.01057860810870224,0.5397242509043751,0.019856993957197613,0.4448766672361837,0.007399992269723241,0.5133387603197612,0.019891615053357833,gini,10.0,50.0,50,random
40,0.7049689440993788,0.02554371021451911,0.6586704992778365,0.02306403713238093,0.7014036734854592,0.02246777980241008,0.6479749164000976,0.028896952188330105,0.7049689440993788,0.02554371021451911,0.6484732709575143,0.024486741323212134,0.698961709162403,0.024164954610677292,gini,10.0,50.0,100,best
41,0.4670841580779469,0.03108916167678461,0.4152114268681082,0.05022922748252709,0.4521560613546467,0.04135180875030954,0.40694235662922945,0.024584590385452413,0.4670841580779469,0.03108916167678461,0.38555215063555165,0.03094295787950175,0.4375879250792774,0.037288396717387894,gini,10.0,50.0,100,random
42,0.7119479898983004,0.024054943840540778,0.6686029406506109,0.026869317421525835,0.7076058645527328,0.021906651185927127,0.6573706543184754,0.025340449574937876,0.7119479898983004,0.024054943840540778,0.6569669378352461,0.022893429786179212,0.7055808485519113,0.0221153201131455,gini,10.0,100.0,2,best
43,0.4796942188246536,0.04764399933197179,0.4806721950972951,0.0518258891425976,0.48497658715851244,0.023268831409292066,0.4217075049082646,0.03895168452155962,0.4796942188246536,0.04764399933197179,0.40417109836065623,0.03938564761714995,0.4559621765729285,0.04914779557549927,gini,10.0,100.0,2,random
44,0.7119991809432804,0.02413808407828314,0.6686478942979173,0.02693318449169556,0.7076511072333966,0.02197208628396207,0.6574528531564723,0.025424301063613555,0.7119991809432804,0.02413808407828314,0.6570296893371227,0.022962848036016337,0.7056294711944527,0.022189175763276586,gini,10.0,100.0,50,best
45,0.5054603781311856,0.03968850957446296,0.47707966458486684,0.04127307049675219,0.4931548098909396,0.04025716569832827,0.427004761456958,0.031017141810487387,0.5054603781311856,0.03968850957446296,0.41368567302923176,0.03469540620352924,0.4742073191202987,0.04053620834348411,gini,10.0,100.0,50,random
46,0.7118967988533206,0.02448756631465427,0.6676910434545612,0.02661417253710526,0.7073333451698169,0.021964365668361182,0.6572794651535577,0.025755162695880757,0.7118967988533206,0.02448756631465427,0.6569461874456645,0.023029110971906012,0.7056001720457102,0.022545001072224655,gini,10.0,100.0,100,best
47,0.5316701931608764,0.04626972010570932,0.49811897920807247,0.049153115804831,0.5203327697896414,0.04242325177313892,0.45815837660007913,0.042603702358712345,0.5316701931608764,0.04626972010570932,0.44480995064526674,0.044269892336898854,0.5043093490957204,0.04954585986683334,gini,10.0,100.0,100,random
48,0.6791174663845471,0.020551212283336135,0.6345777345225351,0.020086028066487998,0.679701834067931,0.020302531601424048,0.63826586187962,0.024601514118664364,0.6791174663845471,0.020551212283336135,0.6350221764027797,0.021366139974789682,0.6779683232660721,0.019598941283484748,gini,30.0,,2,best
49,0.6624462494027712,0.01763526339993384,0.6135640177173097,0.016732728215112104,0.6627219772850728,0.01665278483569798,0.6175783694250567,0.02280914473680672,0.6624462494027712,0.01763526339993384,0.6143893859047771,0.0193212371317761,0.6612648224214043,0.01681333629626668,gini,30.0,,2,random
50,0.7117261620367211,0.017672867534218074,0.6697007239281199,0.016808661216910364,0.7098121031711908,0.017924470255574147,0.6659548615024313,0.025031103868690455,0.7117261620367211,0.017672867534218074,0.6661030710150659,0.020288974189125925,0.7092004255400448,0.017512228858694967,gini,30.0,,50,best
51,0.690516005733397,0.023530482909965775,0.6457554079852282,0.021208715553238156,0.6861959074950675,0.022764246458629428,0.6341579424315835,0.028178632691584583,0.690516005733397,0.023530482909965775,0.6371777353842039,0.02410108778472396,0.6862074647558304,0.023343232004180668,gini,30.0,,50,random
52,0.7135519759743362,0.016722573439178344,0.6701649905094578,0.016810211129033834,0.7091145279433351,0.01649015644721613,0.6619514492479699,0.021588864976778078,0.7135519759743362,0.016722573439178344,0.663590296368429,0.018899807605176913,0.7093881455183775,0.01636279541199303,gini,30.0,,100,best
53,0.6798853320592452,0.018581150600645576,0.632853802701868,0.025739918939552738,0.672266213566275,0.01864848369847795,0.6175640443414121,0.025263481862966196,0.6798853320592452,0.018581150600645576,0.6206092693566536,0.02294960716421792,0.673327455563975,0.017752787244057825,gini,30.0,,100,random
54,0.6662343867312811,0.02863275613462992,0.5624829795967373,0.04682296295712049,0.6262079174522847,0.03471734651555761,0.5704425025413065,0.030768808102930527,0.6662343867312811,0.02863275613462992,0.5599494247056267,0.03444741850255313,0.6410077663279994,0.030370367793866957,gini,30.0,20.0,2,best
55,0.40876049416422083,0.03850868451355136,0.34646835977748813,0.02790403817730631,0.38587921662952873,0.03955848155705652,0.36169428354324396,0.03492296582591661,0.40876049416422083,0.03850868451355136,0.3373254855211616,0.033867931768664886,0.3755617223822336,0.041519267899489155,gini,30.0,20.0,2,random
56,0.6662343867312811,0.02863275613462992,0.5624829795967373,0.04682296295712049,0.6262079174522847,0.03471734651555761,0.5704425025413065,0.030768808102930527,0.6662343867312811,0.02863275613462992,0.5599494247056267,0.03444741850255313,0.6410077663279994,0.030370367793866957,gini,30.0,20.0,50,best
57,0.4580404067981708,0.03863722094460404,0.3994680717457393,0.06892041568183381,0.43709717573900797,0.04598365613307357,0.38553876660949055,0.025382164808512166,0.4580404067981708,0.03863722094460404,0.3646723734157083,0.019395863392835756,0.4264391748414237,0.03135376093218715,gini,30.0,20.0,50,random
58,0.6662343867312811,0.02863275613462992,0.5624829795967373,0.04682296295712049,0.6262079174522847,0.03471734651555761,0.5704425025413065,0.030768808102930527,0.6662343867312811,0.02863275613462992,0.5599494247056267,0.03444741850255313,0.6410077663279994,0.030370367793866957,gini,30.0,20.0,100,best
59,0.4430584943007303,0.04140113015207014,0.3807369761177115,0.05403434673930873,0.4237225762186353,0.047230575029506526,0.3889820957916996,0.038823527881179834,0.4430584943007303,0.04140113015207014,0.36182142307240284,0.03763785679295303,0.40919070296614035,0.04590082965599269,gini,30.0,20.0,100,random
60,0.7054637908675175,0.0263063481195194,0.6600341147385809,0.024789883066582457,0.7030147830745747,0.024814541677612618,0.6507795869382862,0.03323829925058817,0.7054637908675175,0.0263063481195194,0.6510267566313064,0.02827349290074793,0.7000974899012465,0.02588972989776038,gini,30.0,50.0,2,best
61,0.4663504197665689,0.05074110043559908,0.38540546359666245,0.03966069161852291,0.43547588243297003,0.04958952341124632,0.39798887754919265,0.04554106550061977,0.4663504197665689,0.05074110043559908,0.379745964764587,0.04296341371424604,0.4373545177068834,0.05061380456553044,gini,30.0,50.0,2,random
62,0.7054637908675175,0.0263063481195194,0.6600341147385809,0.024789883066582457,0.7030147830745747,0.024814541677612618,0.6507795869382862,0.03323829925058817,0.7054637908675175,0.0263063481195194,0.6510267566313064,0.02827349290074793,0.7000974899012465,0.02588972989776038,gini,30.0,50.0,50,best
63,0.4419322913111733,0.02490284598614654,0.40070233724732296,0.014359442585175861,0.4257842621638719,0.016626495531554885,0.39071871772327627,0.01612878355037221,0.4419322913111733,0.02490284598614654,0.3668246925568295,0.02062371456318323,0.4092071008627803,0.028906953889293575,gini,30.0,50.0,50,random
64,0.7054637908675175,0.0263063481195194,0.6600341147385809,0.024789883066582457,0.7030147830745747,0.024814541677612618,0.6507795869382862,0.03323829925058817,0.7054637908675175,0.0263063481195194,0.6510267566313064,0.02827349290074793,0.7000974899012465,0.02588972989776038,gini,30.0,50.0,100,best
