,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,precision_weighted_mean,precision_weighted_std,recall_macro_mean,recall_macro_std,recall_weighted_mean,recall_weighted_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,criterion,max_depth,max_features,max_leaf_nodes,min_samples_split,n_estimators,n_jobs
347,0.7073749232134325,0.033373049827290995,0.6675413231004285,0.029526420931302956,0.6909651402414053,0.031356941084795864,0.6080251262308273,0.029464503333571868,0.7073749232134325,0.033373049827290995,0.6016643466412319,0.02165843288059907,0.6812693331741135,0.028331019968909927,entropy,,sqrt,50.0,50,200,-1
348,0.7079209610265511,0.034043661432544225,0.6707127522684381,0.03635020112948421,0.693152612150411,0.03444254155963364,0.6076706376948884,0.03093287899913793,0.7079209610265511,0.034043661432544225,0.601393298562707,0.023233986454622328,0.6819483722538267,0.029547282089876385,entropy,,sqrt,50.0,100,50,-1
349,0.706095147088936,0.034426475700380245,0.671083728650738,0.033472296530239656,0.6918254733042178,0.03400038452245205,0.6076922580154204,0.0314921258047389,0.706095147088936,0.034426475700380245,0.6022757192413971,0.02464534918606474,0.6806200911460786,0.030221720603320717,entropy,,sqrt,50.0,100,100,-1
350,0.7067606306736742,0.03235851330452306,0.6896943544821215,0.05930159115786494,0.7000605150402315,0.04117994609726331,0.6067515285532529,0.02770454347355675,0.7067606306736742,0.03235851330452306,0.5994662776756934,0.018554187882381643,0.6801446526205599,0.026836242742396616,entropy,,sqrt,50.0,100,200,-1
351,0.713637294382636,0.028521758863066193,0.6754966645779745,0.027927022675534763,0.7001445371865682,0.027994861152894363,0.6260555338951876,0.03159242450527909,0.713637294382636,0.028521758863066193,0.6280016436418586,0.026570879299371155,0.6948964422891553,0.026837751688296854,entropy,,sqrt,100.0,2,50,-1
352,0.7137908675175756,0.031026986722444683,0.6786872505565233,0.03460616936634129,0.7009690719503103,0.031954505932967725,0.6277116985850493,0.032128770618914344,0.7137908675175756,0.031026986722444683,0.6303308427504215,0.028972091393301456,0.6954669873330082,0.02973491386403712,entropy,,sqrt,100.0,2,100,-1
353,0.7157190635451505,0.031046110900284682,0.6832490581232689,0.023942959849073304,0.7038335979811854,0.028721706060211592,0.627817731854543,0.027549890285247822,0.7157190635451505,0.031046110900284682,0.6295238519325863,0.020421264806533657,0.6966847174402622,0.027289297560064776,entropy,,sqrt,100.0,2,200,-1
354,0.7133984028393967,0.0325364991284398,0.6810554521830092,0.029544520963874978,0.7019798246427503,0.03153938953350385,0.6288326359495215,0.03376807930254062,0.7133984028393967,0.0325364991284398,0.6313927524271468,0.03023469312980079,0.6954663699240169,0.03096878750477308,entropy,,sqrt,100.0,50,50,-1
355,0.7138249948808955,0.03289015233892666,0.6790977766778545,0.03358132908209969,0.7015006023755512,0.033393358927575535,0.6248835314244952,0.0342394745181088,0.7138249948808955,0.03289015233892666,0.626688005852831,0.030126567146415067,0.694513278972362,0.0315541028439894,entropy,,sqrt,100.0,50,100,-1
356,0.7133642754760767,0.0313302020657329,0.6778219711496793,0.033624730896744816,0.700402882841273,0.031962716612039685,0.6248298048431316,0.033122670183182684,0.7133642754760767,0.0313302020657329,0.6260650789550233,0.028910108538159732,0.6938166501753633,0.029642631106558667,entropy,,sqrt,100.0,50,200,-1
357,0.7142003958774145,0.030204408398152784,0.6801233700680707,0.02094751279592149,0.7026669491627461,0.026393411779995858,0.6297680316100065,0.029504184726545805,0.7142003958774145,0.030204408398152784,0.6338396271277381,0.02256935368770938,0.6972126840176218,0.027421393380479685,entropy,,sqrt,100.0,100,50,-1
358,0.7137055491092759,0.03201337685070962,0.6774957031606323,0.03630902939647878,0.7004507879806458,0.03323387100331461,0.6275303266936798,0.032908774338382726,0.7137055491092759,0.03201337685070962,0.6289475412658433,0.029045459613576224,0.6948910695852601,0.030502598979828915,entropy,,sqrt,100.0,100,100,-1
359,0.7139444406525152,0.029900907062184325,0.6840506578271235,0.022715013458264457,0.703180844969965,0.027314711755229513,0.6267135964340258,0.029014029672757204,0.7139444406525152,0.029900907062184325,0.6292460438969865,0.022464528311518704,0.6951065798364571,0.026900154612450426,entropy,,sqrt,100.0,100,200,-1
360,0.7233977202921302,0.02254558593949613,0.6885154538091562,0.021021410021049822,0.7212848730299903,0.02124976525927907,0.6799587959242521,0.025456013041258094,0.7233977202921302,0.02254558593949613,0.6820052497878528,0.02223705133239524,0.7203734162471225,0.02159246105590053,entropy,,log2,,2,50,-1
361,0.7231758924305508,0.022120870154590265,0.6860005330615115,0.022298959107853462,0.7204450254577445,0.02105786629781888,0.6783421056895915,0.0253288808029814,0.7231758924305508,0.022120870154590265,0.6799637085331329,0.022724882975845042,0.7199941575311959,0.021236223544239045,entropy,,log2,,2,100,-1
362,0.7240461401952085,0.022813472329664367,0.6883866123463882,0.022313614196672004,0.7218315328683531,0.021509185215927273,0.6800580526272161,0.02596024981393883,0.7240461401952085,0.022813472329664367,0.6819756740022572,0.022965630463348014,0.7210812842248905,0.02181372146488798,entropy,,log2,,2,200,-1
363,0.7342331581462016,0.023655082225698173,0.6968506987873806,0.025610067198559152,0.7286976669161398,0.023190826002709896,0.6771953507220115,0.02719443471388751,0.7342331581462016,0.023655082225698173,0.6820005013262377,0.02473133547715204,0.728166849100053,0.023039046087589866,entropy,,log2,,50,50,-1
364,0.7344891133711009,0.025193068321679633,0.6982983803167337,0.024784282549689046,0.7293882391080764,0.024140022962004813,0.6779540563407767,0.027517610667128913,0.7344891133711009,0.025193068321679633,0.6827890735772836,0.024486727061280113,0.7283796750517398,0.02430489613016681,entropy,,log2,,50,100,-1
