BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,BUILDING TYPE
Manhattan,529,9,538,0.004496133197739044,0.12621858306681794,1929,212500000.0,MIXED USE
Manhattan,0,1,1,0.0017515313482960055,0.03275746454200901,2008,139657500.0,COMMERCIAL
Manhattan,0,9,9,0.0011678452333088948,0.02137944549687847,1913,51000000.0,COMMERCIAL
Manhattan,0,2,2,0.000538987299860464,0.0012142170579632669,1930,16540319.0,COMMERCIAL
Manhattan,476,6,482,0.0041678688834756285,0.10679217664538543,1929,239114603.0,MIXED USE
Manhattan,317,6,323,0.0028680557197928247,0.08083448760386769,1921,182391612.0,MIXED USE
Manhattan,0,1,1,0.010113284298654306,0.2649118199524605,1983,652000000.0,COMMERCIAL
Manhattan,0,23,23,0.00652744601849443,0.15113936166950845,1973,3288000.0,COMMERCIAL
Manhattan,0,1,1,0.01268405742260483,0.43118996737824833,1987,1040000000.0,COMMERCIAL
Manhattan,0,52,52,0.004891800487193435,0.14067347186357257,1912,54052917.0,COMMERCIAL
Manhattan,0,5,5,0.001130950973204361,0.005737802171139548,1948,12500000.0,COMMERCIAL
Manhattan,0,1,1,0.0016162523945793819,0.03832222611793157,2007,100107200.0,COMMERCIAL
Manhattan,0,318,318,0.0014447886857602346,0.034675842173112585,2014,203345000.0,COMMERCIAL
Manhattan,0,2,2,0.0015365513326868955,0.03185306747116768,1902,93550000.0,COMMERCIAL
Manhattan,0,3,3,0.001335288413783317,0.019960459290800186,1900,51100000.0,COMMERCIAL
Manhattan,15,1,16,0.0010879076697490717,0.008180100864803036,1900,489854.0,MIXED USE
Manhattan,15,1,16,0.0010879076697490717,0.008180100864803036,1900,576299.0,MIXED USE
Manhattan,4,1,5,0.0003292103209327626,0.0013645944011102327,1910,6625000.0,MIXED USE
Manhattan,0,15,15,0.0023356904666177896,0.028475709659744598,1910,126000000.0,COMMERCIAL
Manhattan,0,9,9,0.000579429084975049,0.006002295654121446,1912,26500000.0,COMMERCIAL
Manhattan,0,35,35,0.0027323037627415272,0.05812217625877701,1913,1159531.0,COMMERCIAL
Manhattan,0,1,1,0.0006411560201499421,0.0026124063974361194,1913,29500000.0,COMMERCIAL
Manhattan,0,3,3,0.0005030390464252773,0.0011816886255804125,1950,13500000.0,COMMERCIAL
Manhattan,0,4,4,0.00023342714566137692,0.001007848150878601,1915,4650000.0,COMMERCIAL
Manhattan,2,1,3,0.0005439538348745358,0.0017917300460064017,1920,5300000.0,MIXED USE
Manhattan,2,0,2,0.0003327578459428139,0.0008212096044196008,1910,3700000.0,RESIDENTIAL
